thread_id,elapsed_time_micros,local_queue_depth,local_schedule_count,mean_poll_time_micros,noop_count,overflow_count,park_count,park_unpark_count,poll_count,steal_count,steal_operations,total_busy_duration_micros
7,4701949,0,39634,28,464,30,1686,3371,40243,43447,5132,1527697
8,4701949,0,39154,28,421,27,1547,3093,38945,41470,5288,1499036
9,4701949,0,40323,23,233,27,1253,2505,40148,43571,5130,1554033
10,4701949,0,38178,26,295,19,1405,2809,39230,43653,5206,1507978
11,4701949,0,42192,26,332,23,1431,2861,40718,41495,5030,1482058
0,4907061,0,43622,47,245,31,1244,2487,44059,44486,5419,1585931
1,4907061,0,45365,28,294,29,1415,2829,40496,41194,5290,1544328
2,4907061,0,43054,29,280,12,1355,2709,42894,43346,5369,1509954
3,4907061,0,42059,26,259,25,1386,2771,41892,44235,5304,1589957
4,4907061,0,38981,47,308,22,1399,2797,39943,43372,5127,1549330
5,4907061,0,40893,27,362,26,1573,3145,44783,47050,5635,1628013
6,4907061,8,43040,30,371,22,1435,2869,42034,44208,5310,1596532
7,4907061,0,42454,58,489,31,1781,3561,43333,46315,5470,1623932
8,4907061,0,41326,49,448,27,1634,3267,42085,44605,5662,1612904
9,4907061,0,41898,30,244,27,1315,2629,42637,46415,5423,1687130
10,4907061,0,41599,54,302,20,1469,2937,42800,46561,5531,1629724
11,4907061,0,44525,27,336,27,1483,2965,42500,43098,5225,1548866
0,5112334,0,45862,24,254,31,1303,2605,46695,47464,5746,1691314
1,5112334,0,48364,48,304,30,1492,2983,43405,44251,5645,1663761
2,5112334,0,46510,36,328,12,1498,2996,46137,46087,5741,1621372
3,5112334,0,44622,47,276,25,1482,2964,44726,46938,5660,1713800
4,5112334,0,42422,27,322,26,1489,2978,42850,46245,5492,1672146
5,5112334,0,43192,25,373,28,1651,3301,47702,49703,5953,1741085
6,5112334,0,45821,23,381,24,1500,3000,44803,47320,5662,1699207
7,5112334,0,46032,42,508,35,1871,3742,46669,49650,5803,1750781
8,5112334,212,43782,45,457,28,1692,3384,44350,47284,5974,1723965
9,5112334,0,46378,44,256,32,1401,2802,46307,50187,5911,1809469
10,5112334,231,44658,23,315,22,1540,3080,45456,49241,5858,1711748
11,5112334,0,46375,25,345,27,1547,3093,45028,46061,5547,1669017
0,5317425,0,49052,25,265,35,1362,2723,50103,50405,6031,1803515
1,5317425,16,50744,29,313,31,1535,3070,46018,46621,5875,1751468
2,5317425,29,50394,24,339,15,1560,3120,49291,48488,5975,1737808
3,5317425,34,47811,47,287,27,1537,3074,48115,50019,5952,1832991
4,5317425,8,44524,25,327,27,1535,3070,45473,48818,5762,1773953
5,5317425,0,46660,48,385,31,1713,3425,50348,52031,6204,1826017
6,5317425,29,47163,27,391,25,1528,3056,45760,48245,5776,1729888
7,5317425,13,49626,41,538,39,1986,3972,49405,52508,6136,1872556
8,5317425,0,47328,25,467,29,1760,3520,47946,50578,6266,1849082
9,5317425,75,49399,71,264,34,1469,2938,49594,53369,6191,1944200
10,5317425,181,47352,26,333,24,1610,3220,48441,51659,6123,1805286
11,5317425,0,48588,47,355,29,1618,3236,48333,49340,5911,1803011
0,5522521,29,53356,22,309,39,1530,3060,53737,54882,6586,1935238
1,5522521,37,54576,37,331,33,1639,3278,49384,50222,6324,1871708
2,5522521,0,53353,76,354,16,1649,3297,51915,51472,6330,1832132
3,5522521,134,49586,23,303,30,1627,3254,50773,53070,6377,1923323
